ontology	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	FoldEnrich
BP	GO:0031348	negative regulation of defense response	13/247	415/39756	2.379042214333827e-6	1.247915779700562e-4	1.1041487789013459e-4	Zm00001eb121780/Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb327450/Zm00001eb367840/Zm00001eb397190/Zm00001eb062680/Zm00001eb313960/Zm00001eb326660/Zm00001eb347860	13	0.03132530120481928	5.041978440076094
BP	GO:0030968	endoplasmic reticulum unfolded protein response	12/247	354/39756	2.61237520876981e-6	1.2561170795501503e-4	1.111405242327507e-4	Zm00001eb194060/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb327450/Zm00001eb367840/Zm00001eb370720/Zm00001eb058130/Zm00001eb062680/Zm00001eb140600/Zm00001eb313960/Zm00001eb326660	12	0.03389830508474576	5.456117477526933
BP	GO:2000022	regulation of jasmonic acid mediated signaling pathway	6/247	66/39756	3.6000909597930913e-6	1.5978865260004723e-4	1.4138009032385826e-4	Zm00001eb006000/Zm00001eb048770/Zm00001eb048780/Zm00001eb190130/Zm00001eb327450/Zm00001eb347860	6	0.09090909090909091	14.632315053367686
BP	GO:0006984	ER-nucleus signaling pathway	11/247	321/39756	6.18298311335305e-6	2.548272326003364e-4	2.2546968496061875e-4	Zm00001eb194060/Zm00001eb206730/Zm00001eb275080/Zm00001eb327450/Zm00001eb367840/Zm00001eb370720/Zm00001eb058130/Zm00001eb062680/Zm00001eb140600/Zm00001eb313960/Zm00001eb326660	11	0.03426791277258567	5.515607855007756
BP	GO:0009693	ethylene biosynthetic process	9/247	221/39756	1.1180382626573352e-5	4.300720517021883e-4	3.805253034307422e-4	Zm00001eb081380/Zm00001eb193690/Zm00001eb313460/Zm00001eb327450/Zm00001eb055950/Zm00001eb081610/Zm00001eb140600/Zm00001eb178160/Zm00001eb367110	9	0.04072398190045249	6.554747467345704
BP	GO:0002697	regulation of immune effector process	4/247	25/39756	1.6599933465143163e-5	5.986351005867253e-4	5.296689296443707e-4	Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb388620	4	0.16	25.752874493927127
BP	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	11/247	366/39756	2.0957987328756996e-5	7.113387463936933e-4	6.293884739595755e-4	Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb327450/Zm00001eb367840/Zm00001eb397190/Zm00001eb062680/Zm00001eb313960/Zm00001eb326660	11	0.030054644808743168	4.837459348244508
BP	GO:0016045	detection of bacterium	4/247	42/39756	1.3519652293594669e-4	0.004105704933370592	0.003632704355896629	Zm00001eb070510/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080	4	0.09523809523809523	15.329091960670908
BP	GO:0009612	response to mechanical stimulus	6/247	128/39756	1.559975908289599e-4	0.004500530495415493	0.003982043765897135	Zm00001eb058370/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb313460/Zm00001eb370720	6	0.046875	7.544787449392713
BP	GO:0031347	regulation of defense response	6/247	132/39756	1.8447744641966857e-4	0.0048384621845089185	0.004281043800942855	Zm00001eb006000/Zm00001eb048770/Zm00001eb048780/Zm00001eb156250/Zm00001eb324180/Zm00001eb217590	6	0.045454545454545456	7.316157526683843
BP	GO:0009697	salicylic acid biosynthetic process	8/247	250/39756	1.8448209369011475e-4	0.0048384621845089185	0.004281043800942855	Zm00001eb121780/Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb397190/Zm00001eb313960	8	0.032	5.150574898785425
BP	GO:0009581	detection of external stimulus	4/247	51/39756	2.889189971532201e-4	0.006946094223225334	0.006145864632425955	Zm00001eb070510/Zm00001eb206730/Zm00001eb275080/Zm00001eb326660	4	0.0784313725490196	12.623958085258394
BP	GO:0009646	response to absence of light	4/247	51/39756	2.889189971532201e-4	0.006946094223225334	0.006145864632425955	Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb367110	4	0.0784313725490196	12.623958085258394
BP	GO:1903507	negative regulation of nucleic acid-templated transcription	4/247	52/39756	3.114785519591794e-4	0.00718892497921786	0.0063607199031664	Zm00001eb006000/Zm00001eb048770/Zm00001eb048780/Zm00001eb327450	4	0.07692307692307693	12.381189660541889
BP	GO:0009718	anthocyanin-containing compound biosynthetic process	5/247	106/39756	5.407879470872668e-4	0.012001332518052037	0.01061871070191597	Zm00001eb258950/Zm00001eb322190/Zm00001eb125400/Zm00001eb225820/Zm00001eb322210	5	0.04716981132075472	7.592238942785119
BP	GO:0010310	regulation of hydrogen peroxide metabolic process	7/247	235/39756	7.103923365955543e-4	0.015181347341319809	0.013432369717303855	Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb397190/Zm00001eb326660	7	0.029787234042553193	4.794418123869412
BP	GO:0009739	response to gibberellin	6/247	195/39756	0.0014409332502766064	0.02878808252143616	0.0254715315568668	Zm00001eb221780/Zm00001eb234120/Zm00001eb275490/Zm00001eb426670/Zm00001eb086280/Zm00001eb217590	6	0.03076923076923077	4.952475864216755
BP	GO:0005982	starch metabolic process	4/247	78/39756	0.0014468880296735678	0.02878808252143616	0.0254715315568668	Zm00001eb054960/Zm00001eb107250/Zm00001eb319710/Zm00001eb319590	4	0.05128205128205128	8.254126440361258
BP	GO:0015824	proline transport	5/247	142/39756	0.001996817521624031	0.03840545699923553	0.03398092975395281	Zm00001eb081380/Zm00001eb194060/Zm00001eb246640/Zm00001eb335710/Zm00001eb370730	5	0.035211267605633804	5.667445971374808
BP	GO:0080027	response to herbivore	2/247	12/39756	0.0024352386751374127	0.04532686179207378	0.040104949318901364	Zm00001eb035010/Zm00001eb150840	2	0.16666666666666666	26.82591093117409
BP	GO:0002237	response to molecule of bacterial origin	5/247	152/39756	0.0026822953153438126	0.04836513740479312	0.04279319828755754	Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb326660/Zm00001eb347860	5	0.03289473684210526	5.29458768378436
