ontology	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	FoldEnrich
BP	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	11/246	366/39756	2.01882405957451e-5	6.852126366908777e-4	6.050221949436922e-4	Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb327450/Zm00001eb367840/Zm00001eb397190/Zm00001eb062680/Zm00001eb313960/Zm00001eb326660	11	0.030054644808743168	4.857123817139811
BP	GO:0016045	detection of bacterium	4/246	42/39756	1.3310860652720474e-4	0.004042298208747217	0.0035692280088181214	Zm00001eb070510/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080	4	0.09523809523809523	15.391405342624857
BP	GO:0009612	response to mechanical stimulus	6/246	128/39756	1.5260607638670982e-4	0.004402685303756579	0.003887438998482503	Zm00001eb058370/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb313460/Zm00001eb370720	6	0.046875	7.5754573170731705
BP	GO:0009697	salicylic acid biosynthetic process	8/246	250/39756	1.794657429648735e-4	0.004733550181039725	0.004179582755857388	Zm00001eb121780/Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb397190/Zm00001eb313960	8	0.032	5.171512195121951
BP	GO:0031347	regulation of defense response	6/246	132/39756	1.804819826392963e-4	0.004733550181039725	0.004179582755857388	Zm00001eb006000/Zm00001eb048770/Zm00001eb048780/Zm00001eb156250/Zm00001eb324180/Zm00001eb217590	6	0.045454545454545456	7.34589800443459
BP	GO:0009581	detection of external stimulus	4/246	51/39756	2.8450795795419295e-4	0.006840045489148723	0.006039554896922342	Zm00001eb070510/Zm00001eb206730/Zm00001eb275080/Zm00001eb326660	4	0.0784313725490196	12.675274988043999
BP	GO:0009646	response to absence of light	4/246	51/39756	2.8450795795419295e-4	0.006840045489148723	0.006039554896922342	Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb367110	4	0.0784313725490196	12.675274988043999
BP	GO:1903507	negative regulation of nucleic acid-templated transcription	4/246	52/39756	3.0672917200002983e-4	0.007079309289760688	0.006250817652547977	Zm00001eb006000/Zm00001eb048770/Zm00001eb048780/Zm00001eb327450	4	0.07692307692307693	12.431519699812386
BP	GO:0009718	anthocyanin-containing compound biosynthetic process	5/246	106/39756	5.309533822546598e-4	0.011783080829266874	0.010404106761589288	Zm00001eb258950/Zm00001eb322190/Zm00001eb125400/Zm00001eb225820/Zm00001eb322210	5	0.04716981132075472	7.62310170271514
BP	GO:0010310	regulation of hydrogen peroxide metabolic process	7/246	235/39756	6.936849718922498e-4	0.014824304769697339	0.013089416233756293	Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb397190/Zm00001eb326660	7	0.029787234042553193	4.8139076284379865
BP	GO:0009739	response to gibberellin	6/246	195/39756	0.0014115833785874087	0.02836366544729178	0.0250442653954013	Zm00001eb221780/Zm00001eb234120/Zm00001eb275490/Zm00001eb426670/Zm00001eb086280/Zm00001eb217590	6	0.03076923076923077	4.972607879924953
BP	GO:0005982	starch metabolic process	4/246	78/39756	0.001425556842238235	0.02836366544729178	0.0250442653954013	Zm00001eb054960/Zm00001eb107250/Zm00001eb319710/Zm00001eb319590	4	0.05128205128205128	8.287679799874923
BP	GO:0015824	proline transport	5/246	142/39756	0.001961938882736959	0.03773462451130751	0.03331854102612941	Zm00001eb081380/Zm00001eb194060/Zm00001eb246640/Zm00001eb335710/Zm00001eb370730	5	0.035211267605633804	5.690484369632429
BP	GO:0080027	response to herbivore	2/246	12/39756	0.002415925059195769	0.04496737932761157	0.039704846473709754	Zm00001eb035010/Zm00001eb150840	2	0.16666666666666666	26.934959349593502
BP	GO:0002237	response to molecule of bacterial origin	5/246	152/39756	0.002635974660935771	0.047529918104998126	0.04196749131226689	Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb326660/Zm00001eb347860	5	0.03289473684210526	5.316110397946085
