sample	plant	stage	genotype	part	ID1	MADS67	ZCN8	ZmRap27	ZMM4
1614-2A_3dV6L7_179	1614-2A	V6L7	B104	A	0.07	6.48	0.02	0.30	5.57
1614-2B_3dV6L7_180	1614-2B	V6L7	B104	B	0.01	5.78	0.06	0.50	1.42
1614-2C_3dV6L7_181	1614-2C	V6L7	B104	C	0.17	3.47	16.35	0.28	4.81
1614-2D_3dV6L7_182	1614-2D	V6L7	B104	D	0.19	0.75	31.94	0.15	0.14
1614-3A_V4L5_147	1614-3A	V4L5	B104	A	7.07	0.25	0.01	1.06	5.15
1614-3B_V4L5_148	1614-3B	V4L5	B104	B	4.69	0.10	0.03	2.77	0.41
1614-3C_V4L5_149	1614-3C	V4L5	B104	C	0.25	0.25	2.32	1.84	0.15
1614-3D_V4L5_150	1614-3D	V4L5	B104	D	0.38	0.16	12.91	1.51	0.02
1614-5A_2dV5L6_163	1614-5A	V5L6	B104	A	1.26	2.14	0.02	0.79	4.42
1614-5B_2dV5L6_164	1614-5B	V5L6	B104	B	0.08	0.40	0.03	1.07	0.67
1614-5C_2dV5L6_165	1614-5C	V5L6	B104	C	0.15	0.48	7.43	1.11	0.63
1614-5D_2dV5L6_166	1614-5D	V5L6	B104	D	0.40	0.26	43.11	1.04	0.13
1614-7A_V3L4_207	1614-7A	V3L4	B104	A	12.12	0.03	0.01	2.03	1.35
1614-7B_V3L4_208	1614-7B	V3L4	B104	B	4.01	0.05	0.15	4.49	NA
1614-7C_V3L4_209	1614-7C	V3L4	B104	C	0.30	0.11	0.57	2.49	0.04
1614-7D_V3L4_210	1614-7D	V3L4	B104	D	0.18	0.05	1.22	1.33	NA
1615-10A_V3L4_223	1615-10A	V3L4	IR-Vgt1_38	A	13.74	0.07	0.02	1.12	1.11
1615-10B_V3L4_224	1615-10B	V3L4	IR-Vgt1_38	B	7.31	0.08	0.18	3.02	0.07
1615-10C_V3L4_225	1615-10C	V3L4	IR-Vgt1_38	C	0.81	0.21	3.16	3.28	0.48
1615-10D_V3L4_226	1615-10D	V3L4	IR-Vgt1_38	D	NA	0.09	17.26	2.46	3.34
1615-1A_V3L4_135	1615-1A	V3L4	IR-Vgt1_38	A	10.21	0.17	0.02	0.92	1.63
1615-1B_V3L4_136	1615-1B	V3L4	IR-Vgt1_38	B	4.92	0.09	0.08	2.81	0.07
1615-1C_V3L4_137	1615-1C	V3L4	IR-Vgt1_38	C	0.26	0.23	4.75	2.26	0.11
1615-1D_V3L4_138	1615-1D	V3L4	IR-Vgt1_38	D	0.21	0.09	18.21	0.89	0.04
1615-20A_3dV6L7_183	1615-20A	V6L7	IR-Vgt1_38	A	0.57	12.18	0.01	0.32	22.96
1615-20B_3dV6L7_184	1615-20B	V6L7	IR-Vgt1_38	B	0.06	8.08	0.15	0.65	3.53
1615-20C_3dV6L7_185	1615-20C	V6L7	IR-Vgt1_38	C	0.32	8.59	55.84	0.66	7.40
1615-20D_3dV6L7_186	1615-20D	V6L7	IR-Vgt1_38	D	0.29	1.90	74.57	0.40	0.22
1615-21A_3dV6L7_187	1615-21A	V6L7	IR-Vgt1_38	A	0.25	8.64	0.01	0.29	14.99
1615-21B_3dV6L7_188	1615-21B	V6L7	IR-Vgt1_38	B	0.10	6.20	0.02	0.70	2.83
1615-21C_3dV6L7_189	1615-21C	V6L7	IR-Vgt1_38	C	0.17	6.57	55.72	0.70	8.96
1615-21D_3dV6L7_190	1615-21D	V6L7	IR-Vgt1_38	D	0.31	1.42	54.34	0.62	0.23
1615-27A_1dV7L8_203	1615-27A	V7L8	IR-Vgt1_38	A	0.71	18.23	0.01	0.40	25.81
1615-27B_1dV7L8_204	1615-27B	V7L8	IR-Vgt1_38	B	0.30	11.19	0.06	0.35	8.46
1615-27C_1dV7L8_205	1615-27C	V7L8	IR-Vgt1_38	C	0.25	20.39	46.03	0.40	8.72
1615-27D_1dV7L8_206	1615-27D	V7L8	IR-Vgt1_38	D	NA	9.87	267.09	0.32	0.75
1615-29A_2dV5L6_167	1615-29A	V5L6	IR-Vgt1_38	A	2.18	6.65	NA	0.64	6.96
1615-29B_2dV5L6_168	1615-29B	V5L6	IR-Vgt1_38	B	1.42	1.66	0.04	2.07	1.03
1615-29C_2dV5L6_169	1615-29C	V5L6	IR-Vgt1_38	C	0.22	1.62	23.48	1.91	1.15
1615-29D_2dV5L6_170	1615-29D	V5L6	IR-Vgt1_38	D	0.32	0.75	45.77	1.25	0.02
1615-30A_2dV5L6_171	1615-30A	V5L6	IR-Vgt1_38	A	1.57	5.60	0.01	0.57	9.01
1615-30B_2dV5L6_172	1615-30B	V5L6	IR-Vgt1_38	B	0.70	1.87	0.04	1.35	1.69
1615-30C_2dV5L6_173	1615-30C	V5L6	IR-Vgt1_38	C	0.24	1.81	37.61	1.11	1.83
1615-30D_2dV5L6_174	1615-30D	V5L6	IR-Vgt1_38	D	0.30	0.60	77.68	0.87	0.12
1615-3A_V4L5_151	1615-3A	V4L5	IR-Vgt1_38	A	6.57	0.77	0.01	0.79	4.83
1615-3B_V4L5_152	1615-3B	V4L5	IR-Vgt1_38	B	2.37	0.17	0.08	1.33	0.27
1615-3C_V4L5_153	1615-3C	V4L5	IR-Vgt1_38	C	0.26	0.57	1.91	1.43	0.16
1615-3D_V4L5_154	1615-3D	V4L5	IR-Vgt1_38	D	0.23	0.40	27.76	1.06	0.09
1615-4A_V3L4_227	1615-4A	V3L4	IR-Vgt1_38	A	21.45	0.12	0.00	1.05	1.24
1615-4B_V3L4_228	1615-4B	V3L4	IR-Vgt1_38	B	5.02	0.11	0.19	3.23	0.03
1615-4C_V3L4_229	1615-4C	V3L4	IR-Vgt1_38	C	0.68	0.28	2.77	2.58	0.49
1615-4D_V3L4_230	1615-4D	V3L4	IR-Vgt1_38	D	0.36	0.15	14.72	NA	0.02
1615-5A_V4L5_155	1615-5A	V4L5	IR-Vgt1_38	A	6.88	1.07	0.00	1.02	3.63
1615-5B_V4L5_156	1615-5B	V4L5	IR-Vgt1_38	B	5.17	0.13	0.02	1.85	0.41
1615-5C_V4L5_157	1615-5C	V4L5	IR-Vgt1_38	C	0.35	0.49	2.70	1.53	0.16
1615-5D_V4L5_158	1615-5D	V4L5	IR-Vgt1_38	D	0.25	0.38	23.56	0.98	0.04
1615-6A_1dV7L8_199	1615-6A	V7L8	IR-Vgt1_38	A	0.08	21.10	0.01	0.33	48.72
1615-6B_1dV7L8_200	1615-6B	V7L8	IR-Vgt1_38	B	0.04	21.62	0.14	0.47	14.00
1615-6C_1dV7L8_201	1615-6C	V7L8	IR-Vgt1_38	C	0.19	24.26	96.39	0.25	11.28
1615-6D_1dV7L8_202	1615-6D	V7L8	IR-Vgt1_38	D	0.22	7.53	133.99	0.25	0.38
1615-9A_V3L4_139	1615-9A	V3L4	IR-Vgt1_38	A	8.93	0.09	0.01	1.20	1.28
1615-9B_V3L4_140	1615-9B	V3L4	IR-Vgt1_38	B	4.67	0.11	0.16	3.36	0.04
1615-9C_V3L4_141	1615-9C	V3L4	IR-Vgt1_38	C	0.26	0.20	2.47	2.64	0.10
1615-9D_V3L4_142	1615-9D	V3L4	IR-Vgt1_38	D	0.22	0.12	7.04	1.43	0.14
